database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
Crossref,1936,"Primitivism and Related Ideas in Antiquity. By Arthur O. Lovejoy and George Boas. With supplementary essays by W. F. Albright and P. E. Dumont. (Baltimore: Johns Hopkins Press; London: Oxford University Press, Humphrey Milford. 1935. Pp. xv + 482. Price $5; 22s.)",J. R. de la H. Marett,journal-article,Philosophy,11,42,248-249,10.1017/s0031819100033878,https://doi.org/10.1017/s0031819100033878,,Arthur O. Lovejoy
Crossref,1920,Michigan's millions of idle acres,P. S. Lovejoy; Fred E. Janette,monograph,,,,,10.5962/bhl.title.26795,https://doi.org/10.5962/bhl.title.26795,,Arthur O. Lovejoy
Crossref,1909,The child in industry,Owen R. Lovejoy,dataset,PsycEXTRA Dataset,,,,10.1037/e533612009-121,https://doi.org/10.1037/e533612009-121,,Arthur O. Lovejoy
Crossref,1959,ARTHUR BAUMGARTEN,Karl Polak,book-chapter,Arthur Baumgarten,,,7-48,10.1515/9783112533062-001,https://doi.org/10.1515/9783112533062-001,,Arthur O. Lovejoy
Crossref,1912,Sal vet swine book,F. D. Coburn; Robert. Evans; A. J. Lovejoy; E.C. Stone,monograph,,,,,10.5962/bhl.title.43687,https://doi.org/10.5962/bhl.title.43687,,Arthur O. Lovejoy
Crossref,1963,The Correspondence of Arthur Hugh Clough,,book-chapter,"The Correspondence of Arthur Hugh Clough, Vol. 1",,,,10.1093/oseo/instance.00197093,https://doi.org/10.1093/oseo/instance.00197093,,Arthur O. Lovejoy
Crossref,1970,Conversation with Arthur C. Clarke,,other,Conversation with Arthur C. Clarke,,,,10.5040/9781350920217,https://doi.org/10.5040/9781350920217,,Arthur O. Lovejoy
Crossref,1952,The Arthur adaptation of the Leiter International Performance Scale.,Grace Arthur,book,,,,,10.1037/13224-000,https://doi.org/10.1037/13224-000,,Arthur O. Lovejoy
Crossref,1965,Lovejoy: Martyr to Freedom (review),,journal-article,Civil War History,11,3,290-291,10.1353/cwh.1965.0093,https://doi.org/10.1353/cwh.1965.0093,,Arthur O. Lovejoy
Crossref,1951,404. To Messrs. Lovejoy. 27 February.,Anthony Trollope,book-chapter,The Letters of Anthony Trollope,,,,10.1093/oseo/instance.00193543,https://doi.org/10.1093/oseo/instance.00193543,,Arthur O. Lovejoy
